,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_Fresh UT.fcs,32.7,14.2,6.33,3.06,
Control_F522Y.fcs,0.48,0.94,0.26,4.84,
Control_GAPDH.fcs,9.90,9.27,0.13,5.61,
Control_M.fcs,9.36,8.45,0.27,5.77,
Control_NI.fcs,1.34,1.65,1.31,6.05,
Control_NT.fcs,5.61,5.65,0.21,3.26,
Control_UT.fcs,3.32,2.67,0.28,2.22,
siMDDC-SupT1_A2.fcs,7.81,3.08,0.55,0.69,
siMDDC-SupT1_A3.fcs,8.72,3.94,0.84,0.82,
siMDDC-SupT1_A4.fcs,11.1,4.57,0.64,0.88,
siMDDC-SupT1_A5.fcs,7.50,3.73,1.02,0.94,
siMDDC-SupT1_A6.fcs,8.27,4.33,0.93,1.48,
siMDDC-SupT1_A7.fcs,9.68,4.75,0.72,0.99,
siMDDC-SupT1_A8.fcs,6.21,3.03,0.57,1.30,
siMDDC-SupT1_A9.fcs,11.7,7.24,1.96,3.45,
siMDDC-SupT1_A10.fcs,5.82,3.19,0.85,2.05,
siMDDC-SupT1_A11.fcs,5.55,5.76,1.03,6.31,
siMDDC-SupT1_B2.fcs,7.73,3.14,2.43,0.65,
siMDDC-SupT1_B3.fcs,11.5,3.78,8.66,0.80,
siMDDC-SupT1_B4.fcs,8.28,3.02,2.90,1.17,
siMDDC-SupT1_B5.fcs,13.2,4.70,8.67,2.48,
siMDDC-SupT1_B6.fcs,19.7,5.12,14.0,2.66,
siMDDC-SupT1_B7.fcs,9.23,4.11,1.87,2.13,
siMDDC-SupT1_B8.fcs,12.1,5.28,3.50,2.59,
siMDDC-SupT1_B9.fcs,9.13,4.27,1.53,2.18,
siMDDC-SupT1_B10.fcs,17.6,6.43,9.09,2.30,
siMDDC-SupT1_B11.fcs,8.18,4.15,2.34,1.73,
siMDDC-SupT1_C2.fcs,11.3,4.55,2.66,1.28,
siMDDC-SupT1_C3.fcs,13.8,4.81,9.11,1.21,
siMDDC-SupT1_C4.fcs,10.1,4.19,2.97,1.49,
siMDDC-SupT1_C5.fcs,10.0,4.16,4.38,3.30,
siMDDC-SupT1_C6.fcs,11.7,4.62,3.66,2.19,
siMDDC-SupT1_C7.fcs,12.3,5.01,4.22,1.63,
siMDDC-SupT1_C8.fcs,11.9,4.78,6.63,2.46,
siMDDC-SupT1_C9.fcs,8.62,3.87,3.63,0.69,
siMDDC-SupT1_C10.fcs,7.70,3.37,2.02,1.12,
siMDDC-SupT1_C11.fcs,6.91,3.00,1.99,0.79,
siMDDC-SupT1_D2.fcs,9.02,3.22,3.69,0.77,
siMDDC-SupT1_D3.fcs,13.8,4.55,9.01,1.05,
siMDDC-SupT1_D4.fcs,12.4,4.18,10.3,1.96,
siMDDC-SupT1_D5.fcs,10.2,4.36,4.63,3.03,
siMDDC-SupT1_D6.fcs,9.97,4.68,2.58,2.89,
siMDDC-SupT1_D7.fcs,7.43,3.82,1.00,2.98,
siMDDC-SupT1_D8.fcs,6.61,4.19,0.48,3.36,
siMDDC-SupT1_D9.fcs,7.92,4.01,1.34,3.97,
siMDDC-SupT1_D10.fcs,6.85,3.60,1.48,3.67,
siMDDC-SupT1_D11.fcs,10.0,4.42,4.40,4.75,
siMDDC-SupT1_E2.fcs,4.27,1.78,0.30,0.58,
siMDDC-SupT1_E3.fcs,6.46,2.87,0.068,1.68,
siMDDC-SupT1_E4.fcs,6.69,3.40,0.20,2.86,
siMDDC-SupT1_E5.fcs,7.81,3.45,0.26,2.44,
siMDDC-SupT1_E6.fcs,5.17,2.79,0.13,1.45,
siMDDC-SupT1_E7.fcs,6.71,3.03,0.57,2.10,
siMDDC-SupT1_E8.fcs,3.31,1.56,1.30,1.35,
siMDDC-SupT1_E9.fcs,5.25,2.46,0.25,2.08,
siMDDC-SupT1_E10.fcs,4.39,1.91,0.36,0.75,
siMDDC-SupT1_E11.fcs,4.10,1.81,0.37,0.90,
siMDDC-SupT1_F2.fcs,5.21,1.92,0.61,1.06,
siMDDC-SupT1_F3.fcs,7.42,2.56,0.36,1.22,
siMDDC-SupT1_F4.fcs,5.88,2.14,0.27,0.76,
siMDDC-SupT1_F5.fcs,6.30,2.79,0.19,1.09,
siMDDC-SupT1_F6.fcs,5.85,2.83,0.53,0.87,
siMDDC-SupT1_F7.fcs,5.34,2.35,0.23,1.07,
siMDDC-SupT1_F8.fcs,6.39,2.73,0.72,0.67,
siMDDC-SupT1_F9.fcs,5.25,1.92,0.36,0.60,
siMDDC-SupT1_F10.fcs,5.43,2.41,0.40,0.72,
siMDDC-SupT1_F11.fcs,4.83,2.01,0.47,0.93,
siMDDC-SupT1_G2.fcs,6.92,2.72,0.47,0.74,
siMDDC-SupT1_G3.fcs,8.96,3.69,0.41,1.06,
siMDDC-SupT1_G4.fcs,12.6,4.74,0.42,1.27,
siMDDC-SupT1_G5.fcs,7.05,2.70,0.57,0.80,
siMDDC-SupT1_G6.fcs,6.58,3.44,0.35,1.01,
siMDDC-SupT1_G7.fcs,7.22,3.21,0.15,1.17,
siMDDC-SupT1_G8.fcs,5.35,2.58,0.32,0.92,
siMDDC-SupT1_G9.fcs,6.99,3.29,0.33,0.74,
siMDDC-SupT1_G10.fcs,6.56,2.67,0.19,0.58,
siMDDC-SupT1_G11.fcs,3.57,1.71,0.27,0.45,
siMDDC-SupT1_H2.fcs,4.59,1.45,0.20,0.63,
siMDDC-SupT1_H3.fcs,6.90,1.87,0.47,0.55,
siMDDC-SupT1_H4.fcs,6.03,2.81,0.45,1.55,
siMDDC-SupT1_H5.fcs,6.51,3.38,0.28,1.61,
siMDDC-SupT1_H6.fcs,6.30,3.00,0.25,2.00,
siMDDC-SupT1_H7.fcs,6.11,2.71,0.24,1.63,
siMDDC-SupT1_H8.fcs,6.55,3.19,0.24,1.62,
siMDDC-SupT1_H9.fcs,6.56,3.43,0.25,1.96,
siMDDC-SupT1_H10.fcs,7.14,4.16,0.28,1.99,
siMDDC-SupT1_H11.fcs,8.57,4.37,0.48,2.41,
Mean,8.15,3.72,1.93,1.87,
SD,4.13,1.82,2.79,1.33,
