,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%)
Control_CD4+R9.fcs,99.9,96,0,0
Control_F522Y.fcs,0.2,1.08,0.47,5.3
Control_GAPDH.fcs,42.7,28.7,10.1,16.1
Control_M.fcs,39.4,26.3,15.4,13.5
Control_MDDC+R9.fcs,0,0,0.27,2.28
Control_NI.fcs,0.26,0.81,0.36,4.44
Control_NT.fcs,38.3,27.5,13,16.9
Control_NT2.fcs,39,27,13,17
Control_NT3.fcs,42.7,29.6,16.7,18.9
Control_UT.fcs,7.12,3.52,2.62,4.13
Control_Unstained.fcs,0,0.95,0.22,3.79
siMDDC-SupT1_A2.fcs,53,36.1,9.26,11.6
siMDDC-SupT1_A3.fcs,39.1,25.8,7.27,10.6
siMDDC-SupT1_A4.fcs,36.6,23.6,6.5,11.9
siMDDC-SupT1_A5.fcs,43.3,28.9,16,15.3
siMDDC-SupT1_A6.fcs,46.5,29.1,8.81,13.8
siMDDC-SupT1_A7.fcs,47.1,28.5,13.4,11.5
siMDDC-SupT1_A8.fcs,46.3,29.1,14.6,12.5
siMDDC-SupT1_A9.fcs,39,25,8.85,12.7
siMDDC-SupT1_A10.fcs,43.8,28.8,15.1,12
siMDDC-SupT1_A11.fcs,45.4,31.9,11,6.76
siMDDC-SupT1_B2.fcs,33.9,18.5,3.5,3.15
siMDDC-SupT1_B3.fcs,36.8,19.8,6.92,4.18
siMDDC-SupT1_B4.fcs,42.6,24.3,6.4,3.44
siMDDC-SupT1_B5.fcs,46.6,27.8,7.89,5.24
siMDDC-SupT1_B6.fcs,45.2,29.7,10.1,8.05
siMDDC-SupT1_B7.fcs,48.6,30.3,12.9,7.09
siMDDC-SupT1_B8.fcs,40.6,24.8,13.5,5.81
siMDDC-SupT1_B9.fcs,42.8,26.6,7.09,6.46
